Species,Elev,A_CO,A_FR,A_SJ,BC_CO,BC_FR,BC_SJ,D_CO,D_FR,D_SJ
TOTAL,1000,30,0,0,0,0,0,0,0,0
TOTAL,1100,330,0,0,98,0,0,1,0,0
TOTAL,1200,377,0,0,58,0,0,0,0,0
TOTAL,1300,385,0,0,291,0,0,188,0,0
TOTAL,1400,431,7,42,291,0,0,161,0,152
TOTAL,1500,277,262,21,740,55,0,21,28,158
TOTAL,1600,520,325,32,674,63,0,169,78,1
TOTAL,1700,676,92,15,721,10,1,115,538,377
TOTAL,1800,587,31,56,426,112,15,18,122,86
TOTAL,1900,489,32,33,482,9,68,14,177,89
TOTAL,2000,336,67,48,240,18,1,19,57,61
TOTAL,2100,361,85,271,459,16,125,22,354,64
TOTAL,2200,309,17,58,305,20,324,29,253,181
TOTAL,2300,473,96,139,506,24,84,18,21,180
TOTAL,2400,781,9,39,132,38,274,24,119,91
TOTAL,2500,440,212,38,129,13,42,18,3,212
TOTAL,2600,317,16,4,148,1,0,130,72,8
TOTAL,2700,461,56,0,66,5,3,93,131,21
TOTAL,2800,543,121,42,104,16,0,28,90,95
TOTAL,2900,199,10,0,60,5,0,69,47,30
TOTAL,3000,162,19,8,203,0,0,99,46,32
TOTAL,3100,178,4,1,11,0,0,31,51,0
TOTAL,3200,111,15,0,0,1,0,37,6,191
TOTAL,3300,60,36,3,0,0,0,13,48,0
TOTAL,3400,82,18,2,4,0,10,9,84,106
TOTAL,3500,29,1,0,0,1,6,0,6,32
TOTAL,3600,26,0,7,2,0,0,0,159,0
TOTAL,3700,1,0,0,0,0,0,0,4,0
TOTAL,3800,1,0,0,0,0,0,0,0,0
TOTAL,3900,3,0,0,0,0,0,0,0,0
TOTAL,4000,0,0,0,0,0,0,0,0,0
TOTAL,4100,0,0,0,0,0,0,0,0,0
TOTAL,4200,0,0,0,19,0,0,0,0,0
TOTAL,4300,0,0,0,23,0,0,0,0,0
Chisp,1000,0,0,0,0,0,0,0,0,0
Chisp,1100,0,0,0,0,0,0,0,0,0
Chisp,1200,32,0,0,0,0,0,0,0,0
Chisp,1300,16,0,0,2,0,0,0,0,0
Chisp,1400,15,0,0,3,0,0,135,0,0
Chisp,1500,2,0,0,0,0,0,0,0,0
Chisp,1600,2,1,0,1,0,0,0,0,0
Chisp,1700,2,2,0,0,0,0,33,0,0
Chisp,1800,2,0,0,2,0,0,0,0,0
Chisp,1900,1,0,0,1,2,0,0,0,0
Chisp,2000,2,0,0,2,0,0,0,1,0
Chisp,2100,0,0,0,0,0,0,0,0,0
Chisp,2200,0,0,0,0,0,0,0,0,0
Chisp,2300,0,0,0,0,0,0,0,0,0
Chisp,2400,0,0,0,0,0,0,0,0,0
Chisp,2500,0,0,0,0,0,0,0,0,0
Chisp,2600,0,0,0,0,0,0,0,0,0
Chisp,2700,0,0,0,0,0,0,0,0,0
Chisp,2800,0,0,0,0,0,0,0,0,0
Chisp,2900,0,0,0,0,0,0,0,0,0
Chisp,3000,0,0,0,0,0,0,0,0,0
Chisp,3100,0,0,0,0,0,0,0,0,0
Chisp,3200,0,0,0,0,0,0,0,0,0
Chisp,3300,0,0,0,0,0,0,0,0,0
Chisp,3400,0,0,0,0,0,0,0,0,0
Chisp,3500,0,0,0,0,0,0,0,0,0
Chisp,3600,0,0,0,0,0,0,0,0,0
Chisp,3700,0,0,0,0,0,0,0,0,0
Chisp,3800,0,0,0,0,0,0,0,0,0
Chisp,3900,0,0,0,0,0,0,0,0,0
Chisp,4000,0,0,0,0,0,0,0,0,0
Chisp,4100,0,0,0,0,0,0,0,0,0
Chisp,4200,0,0,0,0,0,0,0,0,0
Chisp,4300,0,0,0,0,0,0,0,0,0
Dord,1000,0,0,0,0,0,0,0,0,0
Dord,1100,0,0,0,0,0,0,0,0,0
Dord,1200,114,0,0,14,0,0,0,0,0
Dord,1300,97,0,0,0,0,0,0,0,0
Dord,1400,74,0,0,77,0,0,2,0,0
Dord,1500,45,0,4,7,0,0,2,0,0
Dord,1600,26,15,0,13,0,0,0,0,0
Dord,1700,67,1,2,24,0,0,9,0,0
Dord,1800,25,3,0,20,0,0,0,0,2
Dord,1900,18,10,0,0,0,0,0,0,0
Dord,2000,6,0,0,1,0,0,0,0,0
Dord,2100,2,0,0,0,0,0,0,0,0
Dord,2200,9,0,0,0,0,0,0,0,0
Dord,2300,16,0,0,0,0,0,0,0,0
Dord,2400,83,0,0,5,0,0,0,0,0
Dord,2500,102,0,0,0,0,0,5,0,0
Dord,2600,60,0,0,0,0,0,0,0,0
Dord,2700,0,0,0,0,0,0,0,0,0
Dord,2800,0,0,0,0,0,0,1,0,0
Dord,2900,0,0,0,0,0,0,0,0,0
Dord,3000,0,0,0,0,0,0,0,0,0
Dord,3100,0,0,0,0,0,0,0,0,0
Dord,3200,0,0,0,0,0,0,0,0,0
Dord,3300,0,0,0,0,0,0,0,0,0
Dord,3400,0,0,0,0,0,0,0,0,0
Dord,3500,0,0,0,0,0,0,0,0,0
Dord,3600,0,0,0,0,0,0,0,0,0
Dord,3700,0,0,0,0,0,0,0,0,0
Dord,3800,0,0,0,0,0,0,0,0,0
Dord,3900,0,0,0,0,0,0,0,0,0
Dord,4000,0,0,0,0,0,0,0,0,0
Dord,4100,0,0,0,0,0,0,0,0,0
Dord,4200,0,0,0,0,0,0,0,0,0
Dord,4300,0,0,0,0,0,0,0,0,0
Nalb,1000,0,0,0,0,0,0,0,0,0
Nalb,1100,0,0,0,0,0,0,0,0,0
Nalb,1200,0,0,0,0,0,0,0,0,0
Nalb,1300,0,0,0,0,0,0,0,0,0
Nalb,1400,8,0,3,0,0,0,0,0,0
