Species,Elev,A_CO,A_FR,A_SJ,BC_CO,BC_FR,BC_SJ,D_CO,D_FR,D_SJ 
Aleu,1000,0,0,0,0,0,0,0,0,0
Aleu,1100,0,0,0,0,0,0,0,0,0
Aleu,1200,0,0,0,0,0,0,0,0,0
Aleu,1300,10,0,0,0,0,0,0,0,0
Aleu,1400,26,0,8,1,0,0,0,0,0
Aleu,1500,8,0,0,2,0,0,0,0,2
Aleu,1600,7,0,3,0,0,0,0,0,0
Aleu,1700,5,0,1,0,0,0,0,0,4
Aleu,1800,2,0,0,0,0,0,0,0,0
Aleu,1900,3,0,0,0,0,0,0,0,0
Aleu,2000,1,0,0,0,0,0,0,0,0
Aleu,2100,0,0,1,0,0,0,0,0,0
Aleu,2200,0,0,0,0,0,0,0,0,0
Aleu,2300,0,0,0,0,0,0,0,0,0
Aleu,2400,0,0,0,0,0,0,0,0,0
Aleu,2500,0,0,0,0,0,0,0,0,0
Aleu,2600,0,0,0,0,0,0,0,0,0
Aleu,2700,0,0,0,0,0,0,0,0,0
Aleu,2800,0,0,0,0,0,0,0,0,0
Aleu,2900,0,0,0,0,0,0,0,0,0
Aleu,3000,0,0,0,0,0,0,0,0,0
Aleu,3100,0,0,0,0,0,0,0,0,0
Aleu,3200,0,0,0,0,0,0,0,0,0
Aleu,3300,0,0,0,0,0,0,0,0,0
Aleu,3400,0,0,0,0,0,0,0,0,0
Aleu,3500,0,0,0,0,0,0,0,0,0
Aleu,3600,0,0,0,0,0,0,0,0,0
Aleu,3700,0,0,0,0,0,0,0,0,0
Aleu,3800,0,0,0,0,0,0,0,0,0
Aleu,3900,0,0,0,0,0,0,0,0,0
Aleu,4000,0,0,0,0,0,0,0,0,0
Aleu,4100,0,0,0,0,0,0,0,0,0
Aleu,4200,0,0,0,0,0,0,0,0,0
Clat,1000,0,0,0,0,0,0,0,0,0
Clat,1100,0,0,0,0,0,0,0,0,0
Clat,1200,0,0,0,0,0,0,0,0,0
Clat,1300,0,0,0,0,0,0,0,0,0
Clat,1400,2,0,0,0,0,0,0,0,0
Clat,1500,2,0,0,33,0,0,0,0,0
Clat,1600,26,0,0,6,0,0,0,0,0
Clat,1700,10,2,0,4,0,0,0,0,0
Clat,1800,18,0,0,1,0,0,0,0,0
Clat,1900,25,0,2,4,0,0,1,3,0
Clat,2000,37,0,6,1,0,0,2,0,0
Clat,2100,36,2,7,13,1,0,1,2,0
Clat,2200,45,2,1,9,2,6,1,4,5
Clat,2300,42,31,4,19,0,0,18,1,14
Clat,2400,58,13,1,4,1,2,0,7,7
Clat,2500,65,24,3,2,0,1,8,3,18
Clat,2600,38,2,0,18,0,0,5,17,1
Clat,2700,73,20,1,4,0,0,19,16,0
Clat,2800,73,21,7,24,0,0,14,28,11
Clat,2900,35,0,0,10,0,0,12,2,0
Clat,3000,23,1,1,2,0,0,15,3,1
Clat,3100,20,1,1,0,0,0,0,1,0
Clat,3200,28,4,0,0,2,0,5,0,6
Clat,3300,7,11,0,0,0,0,0,11,1
Clat,3400,10,0,0,0,0,0,2,2,2
Clat,3500,8,0,0,1,0,0,0,0,4
Clat,3600,22,0,0,0,0,0,0,0,0
Clat,3700,1,0,0,0,0,0,0,0,0
Clat,3800,0,0,0,0,0,0,0,0,0
Clat,3900,0,0,0,0,0,0,0,0,0
Clat,4000,0,0,0,0,0,0,0,0,0
Clat,4100,0,0,0,0,0,0,0,0,0
Clat,4200,0,0,0,0,0,0,0,0,0
I_trid,1000,1,0,0,0,0,0,0,0,0
I_trid,1100,33,0,0,0,0,0,0,0,0
I_trid,1200,6,0,0,0,0,0,0,0,0
I_trid,1300,27,0,0,7,0,0,33,0,0
I_trid,1400,25,1,0,0,0,0,0,0,0
I_trid,1500,9,33,0,1,11,0,0,2,0
I_trid,1600,58,9,0,1,0,0,3,0,0
I_trid,1700,6,3,0,8,0,0,1,0,0
I_trid,1800,11,1,0,1,0,0,0,0,0
I_trid,1900,15,0,0,2,0,0,0,0,0
I_trid,2000,1,1,0,0,0,0,0,0,0
I_trid,2100,1,0,0,2,0,0,0,0,0
I_trid,2200,1,0,0,0,0,0,0,0,0
I_trid,2300,2,0,0,0,0,0,0,0,0
I_trid,2400,12,0,0,1,0,0,0,0,0
I_trid,2500,0,0,0,0,0,0,0,0,0
I_trid,2600,1,0,0,0,0,0,0,0,0
I_trid,2700,1,0,0,0,0,0,0,0,0
I_trid,2800,6,0,0,0,0,0,0,0,0
I_trid,2900,5,0,0,0,0,0,0,0,0
I_trid,3000,6,0,0,0,0,0,0,0,0
I_trid,3100,0,0,0,0,0,0,0,0,0
I_trid,3200,0,0,0,0,0,0,0,0,0
I_trid,3300,0,0,0,0,0,0,0,0,0
I_trid,3400,0,0,0,0,0,0,0,0,0
I_trid,3500,0,0,0,0,0,0,0,0,0
I_trid,3600,0,0,0,0,0,0,0,0,0
I_trid,3700,0,0,0,0,0,0,0,0,0
I_trid,3800,0,0,0,0,0,0,0,0,0
I_trid,3900,0,0,0,0,0,0,0,0,0
I_trid,4000,0,0,0,0,0,0,0,0,0
I_trid,4100,0,0,0,0,0,0,0,0,0
I_trid,4200,0,0,0,0,0,0,0,0,0
Mflav,1000,0,0,0,0,0,0,0,0,0
Mflav,1100,0,0,0,0,0,0,0,0,0
Mflav,1200,0,0,0,0,0,0,0,0,0
Mflav,1300,0,0,0,0,0,0,0,0,0
Mflav,1400,1,0,0,0,0,0,0,0,0
Mflav,1500,0,0,0,0,0,0,0,0,0
Mflav,1600,1,1,0,0,0,0,0,0,0
Mflav,1700,1,2,0,0,0,0,0,0,0
Mflav,1800,4,0,0,1,0,3,1,1,1
Mflav,1900,4,0,0,1,0,0,0,0,0
Mflav,2000,8,0,0,0,0,0,0,0,0
Mflav,2100,3,4,0,1,0,0,0,0,0
Mflav,2200,10,0,0,0,0,0,0,0,0
Mflav,2300,16,6,1,0,0,0,0,0,1
Mflav,2400,30,0,1,1,1,0,0,0,4
Mflav,2500,13,0,0,1,0,1,0,0,0
Mflav,2600,40,1,0,0,0,0,0,0,1
Mflav,2700,15,2,1,3,0,0,0,0,3
Mflav,2800,47,0,1,4,0,0,0,0,1
Mflav,2900,19,0,0,1,0,0,1,0,1
Mflav,3000,5,2,0,1,0,0,1,0,1
Mflav,3100,36,3,0,0,0,0,0,0,1
Mflav,3200,23,2,0,0,0,0,0,0,1
Mflav,3300,2,6,1,2,0,0,0,2,1
Mflav,3400,7,1,0,0,0,0,0,0,4
Mflav,3500,30,1,0,0,0,0,0,1,24
Mflav,3600,34,1,1,0,0,0,0,25,0
Mflav,3700,2,0,0,2,0,0,1,6,0
Mflav,3800,2,0,0,0,0,0,0,0,0
Mflav,3900,1,0,0,0,0,0,0,0,0
Mflav,4000,0,0,0,0,0,0,0,0,0
Mflav,4100,1,0,0,0,0,0,0,0,0
Mflav,4200,0,0,0,0,0,0,0,0,0
Ovar,1000,0,0,0,0,0,0,0,0,0
Ovar,1100,0,0,0,0,0,0,0,0,0
Ovar,1200,0,0,0,0,0,0,0,0,0
Ovar,1300,7,0,0,0,0,0,0,0,0
Ovar,1400,9,0,0,10,0,0,1,0,1
Ovar,1500,15,8,0,2,1,0,0,0,1
Ovar,1600,18,19,5,0,1,0,0,0,0
Ovar,1700,12,6,1,1,0,5,2,1,1
Ovar,1800,13,4,6,1,4,0,0,0,3
Ovar,1900,17,0,1,0,0,3,0,0,0
Ovar,2000,13,1,2,0,0,1,0,0,7
Ovar,2100,13,3,3,0,0,6,0,0,3
Ovar,2200,12,0,1,3,0,12,0,0,3
Ovar,2300,2,0,0,1,0,2,2,0,4
Ovar,2400,7,0,0,0,0,9,1,0,1
Ovar,2500,4,0,0,1,0,0,1,0,1
Ovar,2600,3,0,0,0,0,0,0,0,0
Ovar,2700,1,0,0,0,0,0,0,0,0
Ovar,2800,0,0,0,1,0,0,0,0,0
Ovar,2900,1,0,0,0,0,0,0,0,0
Ovar,3000,0,0,0,3,0,0,0,0,0
Ovar,3100,0,0,0,0,0,0,0,0,0
Ovar,3200,0,0,0,0,0,0,0,0,0
Ovar,3300,0,0,0,0,0,0,0,0,0
Ovar,3400,0,0,0,0,0,0,0,0,0
Ovar,3500,0,0,0,0,0,0,0,0,0
Ovar,3600,0,0,0,0,0,0,0,0,0
Ovar,3700,0,0,0,0,0,0,0,0,0
Ovar,3800,0,0,0,0,0,0,0,0,0
Ovar,3900,0,0,0,0,0,0,0,0,0
Ovar,4000,0,0,0,0,0,0,0,0,0
Ovar,4100,0,0,0,0,0,0,0,0,0
Ovar,4200,0,0,0,0,0,0,0,0,0
Sabe,1000,0,0,0,0,0,0,0,0,0
Sabe,1100,0,0,0,0,0,0,0,0,0
Sabe,1200,0,0,0,0,0,0,0,0,0
Sabe,1300,0,0,0,0,0,0,0,0,0
Sabe,1400,0,0,0,0,0,0,0,0,0
Sabe,1500,1,0,0,0,0,0,0,0,0
Sabe,1600,0,1,0,0,0,0,0,0,0
Sabe,1700,2,3,0,0,0,0,0,1,0
Sabe,1800,0,4,0,1,0,0,0,1,0
Sabe,1900,6,5,0,0,0,0,0,6,0
Sabe,2000,16,0,0,1,0,0,0,0,0
Sabe,2100,6,2,0,1,1,7,0,0,0
Sabe,2200,17,2,0,5,0,2,2,1,1
Sabe,2300,17,4,0,2,0,0,4,1,4
Sabe,2400,0,3,0,1,1,0,1,0,0
Sabe,2500,8,6,0,1,1,0,0,0,0
Sabe,2600,0,2,0,1,1,0,0,2,0
Sabe,2700,1,0,1,2,1,0,0,0,0
Sabe,2800,10,0,1,0,0,0,0,0,0
Sabe,2900,1,0,0,0,0,0,0,0,0
Sabe,3000,0,0,0,0,0,0,0,0,0
Sabe,3100,2,0,0,0,0,0,0,0,0
Sabe,3200,0,0,0,0,0,0,0,0,0
Sabe,3300,0,0,0,0,0,0,0,0,0
Sabe,3400,0,0,0,0,1,0,0,0,0
Sabe,3500,0,0,0,0,0,0,0,0,0
Sabe,3600,0,0,0,0,0,0,0,0,0
Sabe,3700,0,0,0,0,0,0,0,0,0
Sabe,3800,0,0,0,0,0,0,0,0,0
Sabe,3900,0,0,0,0,0,0,0,0,0
Sabe,4000,0,0,0,0,0,0,0,0,0
Sabe,4100,0,0,0,0,0,0,0,0,0
Sabe,4200,0,0,0,0,0,0,0,0,0
Thud,1000,0,0,0,0,0,0,0,0,0
Thud,1100,0,0,0,0,0,0,0,0,0
Thud,1200,0,0,0,0,0,0,0,0,0
Thud,1300,0,0,0,0,0,0,0,0,0
Thud,1400,0,0,0,0,0,0,0,0,0
Thud,1500,0,0,0,0,0,0,0,0,0
Thud,1600,0,0,0,0,0,0,0,0,0
Thud,1700,0,2,0,0,0,0,0,0,0
Thud,1800,1,2,0,1,0,3,0,1,0
Thud,1900,1,0,0,0,0,0,0,4,0
Thud,2000,16,2,0,0,0,0,0,0,0
Thud,2100,5,11,1,1,0,0,1,16,0
Thud,2200,21,10,0,0,0,2,1,4,0
Thud,2300,17,9,1,2,0,0,0,8,1
Thud,2400,46,15,0,5,0,0,0,13,2
Thud,2500,40,21,0,3,0,0,2,1,7
Thud,2600,33,7,1,14,1,0,2,5,0
Thud,2700,37,20,0,5,8,0,6,20,0
Thud,2800,42,19,1,15,0,0,0,28,3
Thud,2900,8,0,0,1,0,0,0,7,1
Thud,3000,57,8,0,4,1,0,0,10,7
Thud,3100,23,2,0,4,0,0,0,5,0
Thud,3200,18,1,0,0,0,0,1,2,9
Thud,3300,28,7,1,5,0,0,0,2,0
Thud,3400,13,2,0,5,0,0,5,0,6
Thud,3500,15,0,0,2,0,0,0,0,0
Thud,3600,13,0,0,2,0,0,0,0,0
Thud,3700,3,0,0,4,0,0,0,0,0
Thud,3800,0,0,0,0,0,0,0,0,0
Thud,3900,0,0,0,0,0,0,0,0,0
Thud,4000,0,0,0,0,0,0,0,0,0
Thud,4100,0,0,0,0,0,0,0,0,0
Thud,4200,0,0,0,0,0,0,0,0,0
Tmin,1000,0,0,0,0,0,0,0,0,0
Tmin,1100,2,0,0,0,0,0,0,0,0
Tmin,1200,0,0,0,0,0,0,0,0,0
Tmin,1300,0,0,0,0,0,0,0,0,0
Tmin,1400,8,0,0,0,0,0,0,0,0
Tmin,1500,10,0,0,0,0,0,0,1,1
Tmin,1600,46,0,0,9,0,0,1,4,0
Tmin,1700,42,2,0,6,0,3,0,5,0
Tmin,1800,58,0,0,35,0,0,0,3,0
Tmin,1900,68,2,1,39,1,1,2,29,0
Tmin,2000,52,7,7,9,6,0,0,0,0
Tmin,2100,24,21,22,47,20,5,2,34,1
Tmin,2200,102,2,1,15,9,20,1,13,92
Tmin,2300,104,63,6,75,4,7,4,4,241
Tmin,2400,187,21,5,27,10,33,0,11,49
Tmin,2500,123,49,12,23,4,0,5,3,188
Tmin,2600,167,7,1,31,0,0,17,21,8
Tmin,2700,148,16,1,10,15,0,19,34,25
Tmin,2800,174,31,60,38,0,9,11,28,7
Tmin,2900,118,6,1,17,5,0,20,21,22
Tmin,3000,121,5,0,96,0,0,51,16,15
Tmin,3100,64,11,9,4,4,0,8,49,12
Tmin,3200,93,21,0,0,8,0,14,19,182
Tmin,3300,51,25,1,2,1,5,4,135,53
Tmin,3400,32,1,2,0,0,0,5,15,46
Tmin,3500,39,2,0,0,0,20,0,0,119
Tmin,3600,43,0,0,16,0,0,0,0,0
Tmin,3700,5,0,0,0,0,0,0,0,0
Tmin,3800,3,0,0,0,0,0,0,0,0
Tmin,3900,2,0,0,0,0,0,2,0,0
Tmin,4000,0,0,0,0,0,0,0,0,0
Tmin,4100,0,0,0,0,0,0,0,0,0
Tmin,4200,0,0,0,0,0,0,0,0,0
Tquad,1000,0,0,0,0,0,0,0,0,0
Tquad,1100,0,0,0,0,0,0,0,0,0
Tquad,1200,0,0,0,0,0,0,0,0,0
Tquad,1300,4,0,0,3,0,0,0,0,0
Tquad,1400,25,0,0,1,0,0,0,0,0
Tquad,1500,9,2,0,5,2,0,4,0,0
Tquad,1600,72,16,0,0,0,0,0,0,0
Tquad,1700,2,1,0,8,0,0,0,1,0
Tquad,1800,26,3,7,1,10,0,0,17,0
Tquad,1900,24,0,0,1,6,0,0,19,0
Tquad,2000,4,9,0,0,10,0,2,1,0
Tquad,2100,27,1,9,0,11,2,0,17,0
Tquad,2200,35,1,0,9,0,0,2,4,0
Tquad,2300,30,4,0,9,1,1,14,0,0
Tquad,2400,30,0,1,5,1,1,3,0,7
Tquad,2500,33,1,8,1,1,0,0,0,6
Tquad,2600,13,2,1,4,0,0,8,1,0
Tquad,2700,38,9,0,1,2,0,19,0,0
Tquad,2800,18,0,1,6,0,0,0,0,0
Tquad,2900,6,0,0,1,0,0,12,0,0
Tquad,3000,6,0,0,2,0,0,0,0,0
Tquad,3100,12,0,0,1,0,0,0,0,0
Tquad,3200,15,0,0,0,0,0,0,0,0
Tquad,3300,9,0,2,0,0,0,0,0,0
Tquad,3400,0,0,0,0,0,0,0,0,0
Tquad,3500,1,0,0,0,0,0,0,0,0
Tquad,3600,0,0,0,0,0,0,0,0,0
Tquad,3700,0,0,0,0,0,0,0,0,0
Tquad,3800,0,0,0,0,0,0,0,0,0
Tquad,3900,0,0,0,0,0,0,0,0,0
Tquad,4000,0,0,0,0,0,0,0,0,0
Tquad,4100,0,0,0,0,0,0,0,0,0
Tquad,4200,0,0,0,0,0,0,0,0,0
Truf,1000,0,0,0,0,0,0,0,0,0
Truf,1100,0,0,0,0,0,0,0,0,0
Truf,1200,0,0,0,0,0,0,0,0,0
Truf,1300,0,0,0,0,0,0,0,0,0
Truf,1400,32,0,3,5,0,0,0,0,0
Truf,1500,25,0,1,9,0,0,0,0,6
Truf,1600,20,0,2,1,0,0,0,0,0
Truf,1700,21,0,0,10,0,0,0,0,15
Truf,1800,21,0,0,5,0,2,2,0,4
Truf,1900,17,0,0,21,0,0,5,0,1
Truf,2000,22,0,2,3,0,0,0,0,0
Truf,2100,4,0,12,10,0,5,6,0,1
Truf,2200,2,0,2,9,0,7,0,0,0
Truf,2300,0,0,0,6,0,0,0,0,23
Truf,2400,5,0,0,0,0,0,0,0,0
Truf,2500,2,0,0,5,0,0,0,0,0
Truf,2600,0,0,0,0,0,0,0,0,0
