Species,Elev,A_CO,A_FR,A_SJ,BC_CO,BC_FR,BC_SJ,D_CO,D_FR,D_SJ
TOTAL,1000,0,0,0,0,0,0,0,0,0
TOTAL,1100,0,0,0,0,0,0,0,0,0
TOTAL,1200,0,0,0,0,0,0,0,0,0
TOTAL,1300,2,0,0,0,0,0,0,0,0
TOTAL,1400,0,3,0,1,0,0,0,0,1
TOTAL,1500,1,3,0,4,1,0,0,0,0
TOTAL,1600,1,43,0,1,7,0,0,0,0
TOTAL,1700,11,2,0,5,0,0,7,2,2
TOTAL,1800,31,6,0,17,10,2,0,0,0
TOTAL,1900,11,0,0,10,0,1,0,4,1
TOTAL,2000,22,5,1,15,0,0,4,0,27
TOTAL,2100,47,2,4,10,1,3,0,7,0
TOTAL,2200,42,2,2,23,4,34,2,1,0
TOTAL,2300,35,8,6,98,5,2,1,2,3
TOTAL,2400,54,1,1,56,42,4,0,12,2
TOTAL,2500,72,43,0,33,2,1,7,0,15
TOTAL,2600,30,23,6,25,7,1,22,8,0
TOTAL,2700,135,7,0,7,4,0,10,18,11
TOTAL,2800,152,71,7,49,0,0,0,20,19
TOTAL,2900,111,11,0,47,0,3,82,12,3
TOTAL,3000,104,1,0,53,0,0,142,52,30
TOTAL,3100,81,21,0,2,0,0,43,25,3
TOTAL,3200,255,18,0,11,1,0,63,1,42
TOTAL,3300,66,8,0,3,0,0,33,10,80
TOTAL,3400,35,2,0,3,0,0,61,24,13
TOTAL,3500,14,1,0,0,0,2,0,0,42
TOTAL,3600,9,1,3,0,0,0,0,1,0
TOTAL,3700,0,0,0,0,0,0,0,0,0
TOTAL,3800,0,0,0,0,0,0,0,0,0
TOTAL,3900,0,0,0,0,0,0,0,0,0
TOTAL,4000,1,0,0,0,0,0,0,0,0
TOTAL,4100,0,0,0,0,0,0,0,0,0
TOTAL,4200,0,0,0,0,0,0,0,0,0
TOTAL,4300,0,0,0,0,0,0,0,0,0
Ncraw,1000,0,0,0,0,0,0,0,0,0
Ncraw,1100,0,0,0,0,0,0,0,0,0
Ncraw,1200,0,0,0,0,0,0,0,0,0
Ncraw,1300,2,0,0,0,0,0,0,0,0
Ncraw,1400,0,0,0,1,0,0,0,0,1
Ncraw,1500,0,0,0,1,0,0,0,0,0
Ncraw,1600,1,0,0,0,0,0,0,0,0
Ncraw,1700,5,0,0,0,0,0,0,0,2
Ncraw,1800,14,0,0,0,0,0,0,0,0
Ncraw,1900,5,0,0,1,0,0,0,0,1
Ncraw,2000,7,0,0,0,0,0,0,0,0
Ncraw,2100,2,0,0,0,0,0,0,0,0
Ncraw,2200,0,0,0,0,0,0,0,0,0
Ncraw,2300,0,0,1,0,0,0,0,0,0
Ncraw,2400,0,0,0,0,0,0,0,0,0
Ncraw,2500,0,0,0,0,0,0,0,0,0
Ncraw,2600,0,0,0,0,0,0,0,0,0
Ncraw,2700,0,0,0,0,0,0,0,0,0
Ncraw,2800,0,0,0,0,0,0,0,0,0
Ncraw,2900,0,0,0,0,0,0,0,0,0
Ncraw,3000,0,0,0,0,0,0,0,0,0
Ncraw,3100,0,0,0,0,0,0,0,0,0
Ncraw,3200,0,0,0,0,0,0,0,0,0
Ncraw,3300,0,0,0,0,0,0,0,0,0
Ncraw,3400,0,0,0,0,0,0,0,0,0
Ncraw,3500,0,0,0,0,0,0,0,0,0
Ncraw,3600,0,0,0,0,0,0,0,0,0
Ncraw,3700,0,0,0,0,0,0,0,0,0
Ncraw,3800,0,0,0,0,0,0,0,0,0
Ncraw,3900,0,0,0,0,0,0,0,0,0
Ncraw,4000,0,0,0,0,0,0,0,0,0
Ncraw,4100,0,0,0,0,0,0,0,0,0
Ncraw,4200,0,0,0,0,0,0,0,0,0
Ncraw,4300,0,0,0,0,0,0,0,0,0
Scin,1000,0,0,0,0,0,0,0,0,0
Scin,1100,0,0,0,0,0,0,0,0,0
Scin,1200,0,0,0,0,0,0,0,0,0
Scin,1300,0,0,0,0,0,0,0,0,0
Scin,1400,0,3,0,0,0,0,0,0,0
Scin,1500,0,2,0,0,1,0,0,0,0
Scin,1600,0,23,0,0,6,0,0,0,0
Scin,1700,2,0,0,0,0,0,0,0,0
Scin,1800,2,2,0,0,0,0,0,0,0
Scin,1900,2,0,0,0,0,0,0,0,0
Scin,2000,2,2,0,0,0,0,0,0,0
Scin,2100,7,0,0,1,0,0,0,0,0
Scin,2200,7,0,0,4,0,4,0,0,0
Scin,2300,7,0,0,51,1,0,1,0,1
Scin,2400,18,0,0,38,18,1,0,0,1
Scin,2500,8,3,0,5,0,0,1,0,0
Scin,2600,5,4,0,5,0,0,6,0,0
Scin,2700,36,0,0,0,0,0,1,2,6
Scin,2800,40,25,0,23,0,0,0,10,9
