Species,Elev,A_CO,A_FR,A_SJ,BC_CO,BC_FR,BC_SJ,D_CO,D_FR,D_SJ
Mgap,1000,0,0,0,0,0,0,0,0,0
Mgap,1100,0,0,0,0,0,0,0,0,0
Mgap,1200,0,0,0,0,0,0,0,0,0
Mgap,1300,0,0,0,0,0,0,0,0,0
Mgap,1400,0,0,0,0,0,0,0,0,0
Mgap,1500,0,0,0,0,0,0,0,0,0
Mgap,1600,0,0,0,0,1,0,0,0,0
Mgap,1700,0,0,0,0,0,0,0,0,0
Mgap,1800,0,0,0,2,0,0,0,0,0
Mgap,1900,0,0,0,11,0,0,0,0,0
Mgap,2000,0,0,0,0,0,0,0,0,0
Mgap,2100,2,0,0,0,0,0,0,0,0
Mgap,2200,9,0,0,4,0,0,0,0,0
Mgap,2300,6,0,0,33,0,0,2,0,0
Mgap,2400,6,0,0,0,4,0,0,0,0
Mgap,2500,16,17,0,1,0,0,5,0,5
Mgap,2600,16,3,0,10,2,0,11,5,0
Mgap,2700,30,15,0,1,36,0,8,6,6
Mgap,2800,79,24,10,11,0,0,6,5,0
Mgap,2900,75,0,0,3,0,0,7,4,0
Mgap,3000,84,2,0,110,0,0,15,7,30
Mgap,3100,98,20,0,2,17,0,7,26,0
Mgap,3200,54,15,0,0,17,0,5,4,25
Mgap,3300,40,6,0,0,0,0,1,2,0
Mgap,3400,17,0,0,1,0,0,0,0,13
Mgap,3500,14,0,0,0,0,4,0,0,4
Mgap,3600,4,0,0,0,0,0,0,0,0
Mgap,3700,2,0,0,0,0,0,0,0,0
Mgap,3800,0,0,0,0,0,0,0,0,0
Mgap,3900,2,0,0,0,0,0,0,0,0
Mgap,4000,0,0,0,0,0,0,0,0,0
Mgap,4100,0,0,0,0,0,0,0,0,0
Mgap,4200,0,0,0,0,0,0,0,0,0
Mlong,1000,0,0,0,0,0,0,0,0,0
Mlong,1100,0,0,0,0,0,0,0,0,0
Mlong,1200,0,0,0,0,0,0,0,0,0
Mlong,1300,0,0,0,8,0,0,0,0,0
Mlong,1400,3,0,0,0,0,0,0,0,0
Mlong,1500,4,1,0,0,0,0,0,0,0
Mlong,1600,3,10,0,19,0,0,2,0,0
Mlong,1700,3,0,0,3,0,0,0,2,0
Mlong,1800,2,0,0,8,0,5,0,1,0
Mlong,1900,21,0,0,1,0,7,0,2,0
Mlong,2000,15,4,5,5,0,0,0,0,1
Mlong,2100,35,2,15,5,3,6,3,42,0
Mlong,2200,44,5,1,10,0,18,1,1,0
Mlong,2300,80,7,25,28,0,1,0,0,0
Mlong,2400,40,1,0,10,11,14,0,4,3
Mlong,2500,81,19,2,11,11,6,0,0,2
Mlong,2600,27,1,1,11,0,0,8,2,1
Mlong,2700,110,21,0,6,4,0,6,0,2
Mlong,2800,110,11,10,16,0,0,0,2,0
Mlong,2900,36,2,0,10,0,0,14,0,0
Mlong,3000,39,1,0,65,0,0,14,5,1
Mlong,3100,54,0,0,8,0,0,0,4,0
Mlong,3200,40,2,0,0,0,0,2,0,0
Mlong,3300,19,10,0,0,0,0,1,0,1
Mlong,3400,21,0,0,0,0,0,0,0,6
Mlong,3500,17,0,0,0,0,0,0,0,0
Mlong,3600,8,0,0,0,0,0,0,1,0
Mlong,3700,0,0,0,0,0,0,0,0,0
Mlong,3800,0,0,0,0,0,0,0,0,0
Mlong,3900,0,0,0,0,0,0,0,0,0
Mlong,4000,0,0,0,0,0,0,0,0,0
Mlong,4100,0,0,0,0,0,0,0,0,0
Mlong,4200,0,0,0,0,0,0,0,0,0
Mmog,1000,0,0,0,0,0,0,0,0,0
Mmog,1100,0,0,0,0,0,0,0,0,0
Mmog,1200,0,0,0,0,0,0,0,0,0
Mmog,1300,0,0,0,0,0,0,0,0,0
Mmog,1400,0,0,0,0,0,0,1,0,1
Mmog,1500,0,0,0,0,0,0,0,0,0
Mmog,1600,0,0,0,0,0,0,0,0,0
Mmog,1700,0,0,0,0,0,0,3,0,3
Mmog,1800,0,0,0,0,0,0,1,0,1
Mmog,1900,0,0,0,3,0,3,13,0,13
Mmog,2000,0,0,0,0,0,0,0,0,0
Mmog,2100,5,0,5,8,0,8,0,0,0
Mmog,2200,7,0,7,20,0,8,0,0,0
Mmog,2300,9,0,9,14,0,6,3,0,3
Mmog,2400,4,0,4,30,0,26,0,0,0
Mmog,2500,0,0,0,0,0,0,0,0,0
Mmog,2600,0,0,0,0,0,0,0,0,0
Mmog,2700,0,0,0,0,0,0,0,0,0
Mmog,2800,0,0,0,0,0,0,0,0,0
Mmog,2900,0,0,0,0,0,0,0,0,0
Mmog,3000,0,0,0,0,0,0,0,0,0
Mmog,3100,0,0,0,0,0,0,0,0,0
Mmog,3200,0,0,0,0,0,0,0,0,0
Mmog,3300,0,0,0,0,0,0,0,0,0
Mmog,3400,0,0,0,0,0,0,0,0,0
Mmog,3500,0,0,0,0,0,0,0,0,0
Mmog,3600,0,0,0,0,0,0,0,0,0
Mmog,3700,0,0,0,0,0,0,0,0,0
Mmog,3800,0,0,0,0,0,0,0,0,0
Mmog,3900,0,0,0,0,0,0,0,0,0
Mmog,4000,0,0,0,0,0,0,0,0,0
Mmog,4100,0,0,0,0,0,0,0,0,0
Mmog,4200,0,0,0,0,0,0,0,0,0
Mmon,1000,0,0,0,0,0,0,0,0,0
Mmon,1100,0,0,0,0,0,0,0,0,0
Mmon,1200,0,0,0,0,0,0,0,0,0
Mmon,1300,0,0,0,0,0,0,0,0,0
Mmon,1400,0,0,0,8,0,0,0,0,0
Mmon,1500,4,5,0,1,0,0,0,1,0
Mmon,1600,3,5,0,24,2,0,1,0,0
Mmon,1700,7,0,0,12,1,0,6,0,0
Mmon,1800,27,0,2,14,0,0,0,5,1
Mmon,1900,15,0,0,7,0,0,0,5,0
Mmon,2000,28,3,7,22,0,0,0,8,20
Mmon,2100,19,4,29,11,1,0,0,12,0
Mmon,2200,13,8,4,25,1,32,2,0,9
Mmon,2300,10,1,11,20,0,0,0,0,4
Mmon,2400,15,1,1,27,8,2,3,0,0
Mmon,2500,49,65,0,17,0,1,0,1,9
Mmon,2600,24,17,1,6,0,0,18,3,0
Mmon,2700,72,10,0,5,0,0,2,0,0
Mmon,2800,167,0,1,17,0,0,0,16,13
Mmon,2900,62,6,0,3,0,0,2,0,0
Mmon,3000,45,0,0,78,0,0,8,6,4
Mmon,3100,47,1,0,0,0,0,3,0,0
Mmon,3200,54,0,0,0,0,0,1,0,5
Mmon,3300,14,0,0,0,0,0,2,1,0
Mmon,3400,32,1,1,5,0,0,0,1,12
Mmon,3500,10,2,0,0,0,0,0,2,4
