Elevation,Chhis_H,Chhis_C,Diord_H,Diord_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Peman_H,Peman_C,Penas_H,Penas_C,Pefas_H,Pefas_C,Peflave_H,Peflave_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Remon_H,Remon_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Socin_H,Socin_C,Sohoy_H,Sohoy_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimon_H,Mimon_C,Mioch_H,Mioch_C,Mipen_H,Mipen_C,Phint_H,Phint_C,Calat_H,Calat_C,Ictri_H,Ictri_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taumb_H,Taumb_C,Urele_H,Urele_C,Xespi_H,Xespi_C
1400,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,1,0,15,0,0,1,34,1,0,0,186,19,13,0,10,0,1,0,11,0,24,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,116,1,71,6,0,0,0,0,33,2,0,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
1600,2,0,1,0,7,1,41,6,0,0,115,53,84,3,0,0,0,0,0,0,5,3,3,0,27,0,0,0,23,0,0,0,2,0,9,0,1,0,6,0,0,0,10,0,5,0,10,2,185,2,0,0,0,0,9,0,1,0,19,0,1,0,0,0,0,4,16,0,0,0,0,0,1,0
1700,0,0,3,0,1,0,8,124,0,5,60,328,20,75,0,0,0,0,0,0,7,71,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,11,6,9,0,0,0,2,0,3,0,2,0,6,1,3,1,2,0,2,5,1,1,0,0,2,0,0,0
1800,0,0,10,0,3,0,4,8,1,0,10,44,3,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,5,2,2,1,0,0,0,0,0,1,0,0,1,4,0,4,1,2,1,0,3,3,17,0,0,0,0,0,0
1900,0,1,0,0,0,0,5,9,0,0,14,137,2,1,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,5,0,3,2,1,0,0,0,3,0,0,0,0,0,0,5,6,0,4,2,29,0,19,0,0,0,0,0,0
2000,0,0,0,0,2,0,3,0,0,0,44,27,15,0,0,0,0,0,0,0,6,6,0,0,0,2,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,3,8,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,7,0,9,1,0,0,0,0,0,0
2100,0,0,0,0,1,0,6,10,0,0,51,316,10,2,0,0,1,0,0,0,0,20,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,2,2,0,0,0,2,42,4,12,0,10,0,0,0,0,2,2,0,0,4,0,3,0,2,0,8,16,21,28,1,16,1,0,3,0,0,0
2200,0,0,0,0,5,0,1,0,0,0,8,252,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,1,8,0,1,4,0,0,0,0,2,4,0,0,0,0,0,0,2,1,13,4,2,19,1,5,2,0,0,0,0,0
2300,0,0,0,0,12,0,0,0,0,0,78,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,1,1,0,2,0,0,0,7,0,1,0,0,0,0,0,0,0,30,1,0,0,6,0,0,0,4,1,9,8,63,4,4,0,17,2,2,5,0,0
