Chhis_H,Chhis_C,Diord_H,Diord_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Peman_H,Peman_C,Penas_H,Penas_C,Pefas_H,Pefas_C,Peflave_H,Peflave_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Remon_H,Remon_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Socin_H,Socin_C,Sohoy_H,Sohoy_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimon_H,Mimon_C,Mioch_H,Mioch_C,Mipen_H,Mipen_C,Phint_H,Phint_C,Calat_H,Calat_C,Ictri_H,Ictri_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taumb_H,Taumb_C,Urele_H,Urele_C,Xespi_H,Xespi_C
1524,1941,1524,,1628,2722,1489,1538,1829,1717,1489,1518,1493,1660,1524,,1512,,1524,,1531,1682,1524,,1553,1726,2006,2402,1485,3086,2638,2806,1604,1718,1628,1726,1656,2171,1591,2859,2515,2611,1628,2683,1506,1513,1484,1532,1493.52,1519,2742,2700,1760,1939,1492,1545,1628,1863,1517,1717,1641,1933,1766,1882,1796,1546,1585,1721,2134,2343,1796,2438,1646,
1624,,1524,,1628,2825,1512,1630,,1717,1490,1524,1505,1680,1524,,2185,,1524,,1532,1682,1609,,1553,1931,2134,2408,1485,3303,2638,2971,1656,2242,1628,1921,2239,2196,1628,2859,2515,2641,1628,2700,1506,1812,1485,1646,1518,1520,2743,2970,1782,1939,1517,1550,1760,3356,1521,,1750,2673,1782,1931,1797,1615,1585,1869,2225,2343,1796,2438,,
1632,,1524,,1628,2825,1524,1630,,1717,1490,1527,1557,1698,1524,,,,1524,,1532,1698,1628,,1561,2130,2134,2408,1492,2821,2638,2971,1750,,1628,1931,2312,3026,1628,2799,2515,2679,2005,2859,1506,1812,1487,1660,1523,1522,2754,3059,2134,1939,1524,,1797,3362,1523,,1750,1724,1829,1931,1924,1640,1628,1885,2286,2423,2152,2438,,
,,1524,,1628,2825,1524,1660,,1717,1496,1534,1560,1701,1524,,,,1524,,1532,1708,1628,,1576,2009,2218,2408,1524,2798,2638,2971,2005,,1628,1938,3673,3355,1628,,2515,2686,2134,1704,1540,1812,1508,1720,1524,1522,2890,3078,2194,2111,1524,,2107,3598,1524,,1750,1897,1859,1950,1924,1687,1628,1885,2312,2429,2197,2438,,
,,1524,,1628,2864,1524,1666,,1717,1500,1535,1565,1701,1524,,,,1524,,1532,1708,,,1592,1944,2218,2408,1584,2809,2638,2971,,,1628,1989,,2724,1628,,2515,2700,2134,1728,1584,1812,1508,1728,1524,1546,2890,3090,2255,2137,1524,,2107,3605,1544,,1806,1935,2018,1950,2005,1692,1628,1885,2312,2429,2197,2377,,
,,1524,,1628,1549,1524,1675,,,1502,1536,1567,1701,1524,,,,1524,,1532,1709,,,1600,2012,2218,2408,1628,2798,2638,3028,,,1628,2112,,2705,1630,,2515,2714,2333,1812,1605,1812,1509,1729,1524,1571,2890,3090,2271,2208,1524,,2107,3614,1561,,1809,1953,2018,2160,2005,1720,1628,1889,2312,2429,2366,2377,,
,,1524,,1635,1620,1524,1679,,,1505,1542,1567,1701,1524,,,,1524,,1532,1709,,,1626,,2333,2408,1628,2806,2638,3030,,,1628,2137,,3114,1645,,2515,2750,2333,1946,1628,1935,1511,1798,1524,1629,2890,3102,2312,2209,1524,,2134,3615,1561,,1834,1935,2134,2177,2005,1723,1628,1889,2312,2429,2366,2377,,
,,1524,,1715,2668,1524,1714,,,1505,1542,1567,1701,1524,,,,1524,,1532,1709,,,1628,,2333,2408,1628,2806,2638,3032,,,1628,2165,,3480,1878,,2527,2762,2333,2102,1628,1950,1511,1798,1524,1638,2891,3110,2312,2246,1524,,2312,3618,1585,,1882,1920,2134,2178,2012,1732,1628,1889,2312,2429,2409,2377,,
,,1524,,1813,2700,1524,1718,,,1505,1582,1567,1703,1524,,,,1524,,1538,1714,,,1628,,2333,2408,1628,2806,2638,3096,,,1630,2181,,3452,1878,,2537,2762,2333,2105,1628,1950,1515,1798,1524,1942,3127,3110,2312,2281,1524,,2312,3633,1602,,1935,1921,2141,2179,2012,1732,1628,1889,2312,2433,2420,2377,,
,,1524,,1829,,1524,1718,,,1507,1585,1585,1704,1524,,,,1524,,1584,1719,,,1628,,2469,2417,1628,2806,2638,3097,,,1829,2196,,3448,2042,,2537,2762,2333,2140,1628,1950,1524,1838,1524,,3231,3110,2312,2322,1524,,2332,3633,1628,,1940,2210,2181,2183,2012,1798,1628,1889,2312,2433,2420,,,
,,1524,,1890,,1524,1718,,,1509,1589,1585,1705,,,,,1524,,1584,1719,,,1628,,2469,2417,1628,2821,2638,3102,,,1854,2399,,3435,2195,,2559,2774,2515,2140,2006,1953,1524,1838,1524,,3259,3110,2312,2420,1524,,2341,3633,1628,,1965,2333,2181,2183,2012,1891,1628,1889,2312,2434,2420,,,
,,1524,,2005,,1524,1718,,,1510,1589,1589,1705,,,,,,,1584,1719,,,1628,,2514,2417,1628,2821,2638,3126,,,2005,2408,,3490,2195,,2559,2818,2515,2144,2006,2093,1524,1906,1524,,3259,3110,2312,2427,1524,,2341,3639,1628,,1981,2671,2194,2183,2107,1891,1630,1893,2312,2434,2420,,,
,,1524,,2076,,1524,1718,,,1510,1589,1591,1705,,,,,,,1584,1719,,,1628,,2515,2417,1628,3027,2638,3320,,,2312,2410,,3650,2363,,2559,2818,2515,2144,2084,2093,1524,1947,1527,,3259,3176,2312,2428,1524,,2341,3644,1628,,1984,,2194,2188,2124,1891,1630,1894,2312,2435,2420,,,
,,1524,,2161,,1524,1718,,,1510,1589,1591,1708,,,,,,,1584,1719,,,1628,,2515,2417,1628,3027,2638,3331,,,2333,2410,,3314,2370,,2559,2818,2522,2144,2195,2093,1526,1947,1527,,3307,3339,2312,2470,1524,,2635,3644,1628,,2134,,2198,2188,2124,1917,1630,1894,2312,2435,2420,,,
