Elevation,Diord_H,Diord_C,Nealb_H,Nealb_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Pecri_H,Pecri_C,Peman_H,Peman_C,Petru_H,Petru_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Nocra_H,Nocra_C,Socin_H,Socin_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimog_H,Mimog_C,Mimon_H,Mimon_C,Phint_H,Phint_C,Amleu_H,Amleu_C,Calat_H,Calat_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taruf_H,Taruf_C,Xespi_H,Xespi_C
1400,0,0,0,0,3,0,0,0,1,0,11,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1450,4,0,3,0,4,0,0,0,0,16,4,0,2,130,0,6,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1500,0,0,0,1,2,0,0,0,0,6,2,0,1,58,4,52,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0
1550,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1600,2,0,0,0,4,0,6,0,0,0,8,0,2,0,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0
1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,0,0,3,0,0,0,2,6,0,34,2,0,1,25,1,157,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
1750,0,2,2,7,0,1,0,31,0,14,0,0,0,46,0,37,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0
1800,0,0,3,2,4,0,5,0,1,6,0,0,5,60,3,20,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,6,0,0,8,0,0
1850,0,0,2,0,0,0,4,0,4,0,0,0,15,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1900,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0,3,5,0,0,1,19,1,9,0,0,16,9,0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2000,0,0,0,5,0,0,1,1,0,0,0,0,1,0,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0
2050,0,0,1,0,0,0,4,0,4,0,2,0,28,29,4,0,0,0,2,1,0,0,2,3,0,0,0,0,1,0,0,27,0,0,0,0,0,0,5,1,0,0,7,20,0,0,0,0,6,0,0,0,1,3,0,0,0,0,6,0,0,0,2,0,3,0
2100,0,0,0,0,15,0,20,0,26,0,0,0,180,8,16,3,0,0,8,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,5,0,29,0,0,0,1,0,5,0,0,0,3,1,0,0,1,0,21,0,9,0,10,0,0,0
2150,0,0,0,0,0,0,1,1,0,3,0,0,0,24,1,24,0,0,0,1,0,0,8,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,2,1,0,0
2200,0,0,0,0,0,0,0,4,0,2,0,0,20,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,84,0,0,1,0,0,0
2250,0,0,0,0,0,0,1,0,0,0,0,0,18,56,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,4,9,0,0,0,0,1,2,0,0,0,2,0,1,0,0,1,8,0,0,1,0,0,0
2300,0,0,0,0,0,0,0,0,0,0,1,0,120,103,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,9,0,11,0,0,0,0,0,3,4,1,0,0,3,0,2,1,1,4,123,0,0,0,23,0,0
2350,0,0,0,0,0,0,0,0,1,0,0,0,6,75,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,10,0,1,0,1,0,2,0,0,2,118,0,0,0,0,0,0
2400,0,0,0,0,0,0,0,0,3,1,0,0,18,32,0,1,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,2,1,4,0,1,0,0,0,0,3,1,1,2,0,0,0,0
2450,0,0,0,0,1,0,0,2,0,4,0,0,9,29,0,17,0,0,2,0,0,0,3,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,46,0,5,0,0,0,0
2500,0,0,0,0,2,1,0,0,0,1,0,0,2,79,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,2,0,0,0,8,0,0,0,0,1,2,0,0,0,1,0,0,0,1,8,64,8,0,0,0,0,0
2550,0,0,0,0,0,6,0,2,0,0,0,0,30,109,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,16,0,0,0,0,0,0,0,6,4,126,0,6,0,0,0,0
2600,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0
