Diord_H,Diord_C,Nealb_H,Nealb_C,Necin_H,Necin_C,Nemex_H,Nemex_C,Peboy_H,Peboy_C,Pecri_H,Pecri_C,Peman_H,Peman_C,Petru_H,Petru_C,Peflavu_H,Peflavu_C,Remeg_H,Remeg_C,Zahud_H,Zahud_C,Zapri_H,Zapri_C,Nocra_H,Nocra_C,Socin_H,Socin_C,Somer_H,Somer_C,Somon_H,Somon_C,Sonan_H,Sonan_C,Sopal_H,Sopal_C,Mygap_H,Mygap_C,Milon_H,Milon_C,Mimog_H,Mimog_C,Mimon_H,Mimon_C,Phint_H,Phint_C,Amleu_H,Amleu_C,Calat_H,Calat_C,Mafla_H,Mafla_C,Otvar_H,Otvar_C,Scabe_H,Scabe_C,Tahud_H,Tahud_C,Tamin_H,Tamin_C,Taqua_H,Taqua_C,Taruf_H,Taruf_C,Xespi_H,Xespi_C
1460,1754,1483,1793,1418,2541,1610,1715,1418,1487,1418,,1418,1486,1418,1481,1524,1506,1610,1486,,1944,2050,2079,2381,1972,,2400,2075,,2115,2079,2192,3514,3691,3395,2827,2570,2050,2079,2133,1494,1895,2079,,2882,1418,1506,1981,2227,2334,1866,1610,1482,2750,2271,2134,2338,1981,1504,1840,2410,1418,1508,2070,
1460,1759,1483,1793,1418,2552,1631,1715,1554,1488,1418,,1418,1486,1426,1481,1610,1512,1610,1486,,,2072,2079,,1484,,2436,2192,,2178,2079,,2549,3691,3393,2827,2570,2058,2480,2133,1725,1895,2079,,2882,1418,1506,1999,2233,2433,2439,1631,1599,2850,2366,2315,2487,2041,2160,1840,2438,1418,1506,2070,
1460,,1483,1793,1426,2552,1631,1719,1840,1491,1418,,1418,1486,1426,1482,1610,1512,1844,1486,,,2178,2079,,1713,,2750,,,2285,2079,,3384,3691,3395,2840,2570,2058,2480,2133,1725,2052,2079,,2907,1418,1723,2050,2256,2708,2791,1631,1799,,2349,2697,2488,2058,2224,1840,2465,1418,1508,2070,
1460,,1706,1793,1478,2552,1631,1721,1858,1491,1418,,1418,1486,1523,1483,,1512,1895,1486,,,2178,2480,,1717,,2765,,,2285,2079,,3399,2804,3394,2840,2570,2058,2480,2133,1799,2052,2079,,3224,1418,1727,2050,2261,2840,2993,1631,1802,,2347,2840,2514,2059,2228,1843,2482,1524,1504,,
1640,,1706,1800,1483,2552,1631,1721,1859,1491,1418,,1418,1486,1523,1483,,1662,1895,1486,,,2178,2480,,,,2767,,,2308,2079,,3375,,3404,2840,2570,2058,2506,2134,1812,2052,2079,,3240,1418,1735,2548,2334,3386,3102,1631,1802,,2350,3321,2554,2070,2228,1843,2485,1631,1508,,
1640,,1706,1800,1483,2557,1631,1723,1859,1491,1418,,1418,1487,1523,1484,,1759,1895,1486,,,2178,2480,,,,2770,,,2308,2079,,3397,,3394,2840,2767,2111,2608,2270,1956,2052,2079,,3273,1426,1730,2050,2349,3658,2379,1736,1874,,,,2561,2070,2230,1843,2489,1631,1504,,
,,1759,1988,1483,2557,1706,1750,1859,1491,1418,,1418,1487,1523,1501,,,1895,1486,,,2178,2480,,,,2770,,,2308,2079,,,,3393,2840,2767,2111,2798,2270,1958,2052,2079,,3273,1440,,2050,2349,,2427,1840,2005,,,,2562,2070,2231,1858,2492,2070,1723,,
,,1797,1990,1523,1750,1736,1787,1905,1491,1418,,1418,1487,1554,1503,,,2041,1486,,,2178,2480,,,,2798,,,2315,2079,,,,3394,2840,2768,2111,2798,2270,1958,2052,2092,,3403,1478,,2095,2349,,2427,1840,2008,,,,2567,2070,2231,2103,2570,2072,1721,,
,,1840,1999,1523,,1843,1787,1905,1491,1418,,1418,1487,1554,1503,,,2070,1486,,,2178,2480,,,,2875,,,2315,2079,,,,,2840,3020,2111,3003,2270,1958,2072,2092,,3407,1610,,2095,2350,,2427,1844,2008,,,,2576,2103,2232,2103,2570,2102,1723,,
,,1843,1999,1610,,1843,1787,1980,1493,1418,,1418,1487,1554,1503,,,2072,1487,,,2178,2480,,,,2887,,,2468,2079,,,,,2840,3040,2111,2524,2270,1958,2103,2092,,3407,1631,,2133.6,2358,,2620,1844,2015,,,,2589,2103,2233,2103,2570,2103,1721,,
