Elev,ShermanFR_H,ShermanFR_C,ShermanSJ_H,ShermanSJ_C,ShrewFR_H,ShrewFR_C,ShrewSJ_H,ShrewSJ_C,LargeFR_H,LargeFR_C,LargeSJ_H,LargeSJ_C
1400,0,0,39,0,0,0,0,0,0,0,3,0
1450,14,0,18,191,3,0,0,1,0,0,4,1
1500,275,19,11,130,1,0,0,0,5,1,2,0
1550,257,13,7,0,2,0,0,0,3,0,0,1
1600,434,16,40,0,39,0,0,0,27,1,9,0
1650,128,58,0,2,2,0,0,0,1,0,0,0
1700,77,579,10,239,0,2,0,2,7,2,1,0
1750,53,41,2,153,1,0,0,0,7,0,0,2
1800,30,72,28,100,1,0,0,0,10,0,8,2
1850,15,36,42,0,5,0,0,0,3,3,2,2
1900,10,200,7,1,0,3,0,0,2,7,1,0
1950,15,43,24,101,0,1,0,1,3,3,0,0
2000,49,2,5,29,5,0,0,0,3,0,1,4
2050,51,45,77,81,0,0,1,27,2,0,1,3
2100,69,234,361,15,0,2,1,0,12,0,19,1
2150,38,232,18,55,2,5,3,0,6,16,0,2
2200,16,299,22,207,1,1,0,0,7,4,1,1
2250,23,1,44,75,0,0,2,0,13,1,0,3
2300,213,6,189,253,6,0,5,0,30,1,2,6
2350,15,14,15,209,2,1,1,0,1,8,0,4
2400,35,163,32,45,0,8,0,2,10,8,1,5
2450,28,13,19,119,1,4,1,1,8,5,1,2
2500,284,1,23,172,29,0,0,5,30,1,2,3
2550,187,9,38,274,14,0,0,5,10,0,0,12
2600,33,56,0,18,22,4,0,0,9,0,0,1
2650,44,38,11,0,1,1,5,0,4,7,1,0
2700,122,168,2,2,7,8,0,0,14,22,1,1
2750,41,77,0,63,0,12,0,11,9,0,1,2
2800,117,150,111,2,43,18,3,2,18,22,4,1
2850,163,50,23,139,20,2,0,11,14,11,5,3
2900,12,35,0,53,8,1,0,1,0,5,0,1
2950,23,54,1,1,3,11,0,0,0,2,0,1
3000,26,84,8,76,1,41,0,21,11,4,0,5
3050,2,57,1,36,0,11,0,9,1,6,1,3
3100,57,114,11,1,21,24,0,0,5,5,0,1
3150,1,49,0,14,0,0,0,2,0,0,0,0
3200,10,13,0,188,0,0,0,39,1,0,0,6
3250,71,15,0,267,18,1,0,3,2,2,0,4
3300,16,35,0,4,3,9,0,0,2,1,1,0
3350,91,194,6,130,5,1,0,80,12,6,1,1
3400,19,32,4,173,0,10,0,13,2,0,0,5
3450,4,103,0,24,2,14,0,0,1,0,0,5
3500,3,11,0,243,1,0,0,42,0,0,0,24
3550,3,0,0,1,0,0,0,0,1,1,0,0
3600,2,63,0,0,0,0,0,0,0,15,0,0
3650,2,97,10,0,1,1,3,0,1,10,1,0
3700,0,13,0,0,0,0,0,0,0,6,0,0
3750,0,0,0,0,0,0,0,0,0,0,0,0
