county,el,sp
Larimer,1941,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1358,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1359,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1360,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1362,Chhis
Logan,1365,Chhis
Logan,1365,Chhis
Logan,1365,Chhis
Logan,1365,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Logan,1370,Chhis
Weld,1619,Chhis
Weld,1619,Chhis
Weld,1619,Chhis
Weld,1648,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1663,Chhis
Weld,1664,Chhis
Weld,1664,Chhis
Weld,1664,Chhis
Montezuma,1754,Diord
Montezuma,1759,Diord
Logan,1360,Diord
Logan,1365,Diord
Weld,1439,Diord
Weld,1490,Diord
Weld,1619,Diord
Weld,1619,Diord
Weld,1619,Diord
Weld,1619,Diord
Weld,1619,Diord
Weld,1619,Diord
Arapahoe,1655,Diord
Weld,1663,Diord
Weld,1663,Diord
Saguache,2402,Diord
Saguache,2423.1600000000003,Diord
Conejos,2484,Diord
Conejos,2484,Diord
Conejos,2484,Diord
Saguache,2784,Diord
East San Juans,1793.3333333333333,Nealb
East San Juans,1793.3333333333333,Nealb
East San Juans,1793.3333333333333,Nealb
East San Juans,1793.3333333333333,Nealb
East San Juans,1800,Nealb
East San Juans,1800,Nealb
East San Juans,1987.6666666666667,Nealb
East San Juans,1990,Nealb
East San Juans,1999,Nealb
East San Juans,1999,Nealb
East San Juans,2002.3333333333333,Nealb
East San Juans,2002.3333333333333,Nealb
East San Juans,2002.3333333333333,Nealb
East San Juans,2006,Nealb
East San Juans,2020,Nealb
Montezuma,1512,Nealb
Montezuma,1752,Nealb
Montezuma,1752,Nealb
Montezuma,1755,Nealb
Montezuma,1980,Nealb
Arapahoe,1650,Nealb
Boulder,2722,Necin
Big Thompson,2825,Necin
Big Thompson,2825,Necin
Big Thompson,2825,Necin
Big Thompson,2864,Necin
Boulder,1549,Necin
Boulder,1620,Necin
Larimer,2668,Necin
Larimer,2700,Necin
West San Juans,2541.3333333333335,Necin
West San Juans,2552,Necin
West San Juans,2552,Necin
West San Juans,2552,Necin
West San Juans,2552,Necin
West San Juans,2557,Necin
West San Juans,2557.3333333333335,Necin
Montezuma,1750,Necin
Moffat,1924,Necin
Moffat,2018.6904000000002,Necin
Park,2400.6048,Necin
Gunnison,2445,Necin
Gunnison,2445,Necin
Gunnison,2445,Necin
Gunnison,2445,Necin
Gunnison,2445,Necin
Gunnison,2445,Necin
Gunnison,2445,Necin
Gunnison,2445,Necin
Saguache,2713.0248,Necin
Conejos,2734,Necin
Custer,2740,Necin
Custer,2740,Necin
Custer,2740,Necin
Custer,2740,Necin
Gunnison,2854.7568,Necin
Gunnison,2854.7568,Necin
Gunnison,2854.7568,Necin
Gunnison,2854.7568,Necin
Gunnison,2854.7568,Necin
Gunnison,2854.7568,Necin
Saguache,2925,Necin
Mesa,3110,Necin
Delta,3180,Necin
Delta,3180,Necin
Boulder,1538,Nemex
Boulder,1630,Nemex
Boulder,1630,Nemex
Larimer,1660,Nemex
Boulder,1666,Nemex
Larimer,1675,Nemex
Boulder,1679,Nemex
Larimer,1714,Nemex
Big Thompson,1718,Nemex
Big Thompson,1718,Nemex
Big Thompson,1718,Nemex
Big Thompson,1718,Nemex
Big Thompson,1718,Nemex
Big Thompson,1718,Nemex
Big Thompson,1718,Nemex
Larimer,1720.596,Nemex
