county,el,sp
Larimer,1524,Chhis
Larimer,1624,Chhis
Boulder,1632,Chhis
Yuma,1114,Chhis
Yuma,1114,Chhis
Yuma,1114,Chhis
Yuma,1114,Chhis
Yuma,1114,Chhis
Yuma,1114,Chhis
Baca,1121,Chhis
Baca,1121,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1133,Chhis
Yuma,1138,Chhis
Kit Carson,1165,Chhis
Logan,1199,Chhis
Logan,1199,Chhis
Bent,1219,Chhis
Bent,1219,Chhis
Bent,1219,Chhis
Bent,1219,Chhis
Bent,1219,Chhis
Cheyenne,1233,Chhis
Kit Carson,1244,Chhis
Baca,1264,Chhis
Baca,1264,Chhis
Baca,1264,Chhis
Baca,1264,Chhis
Baca,1264,Chhis
Baca,1264,Chhis
Baca,1264,Chhis
Baca,1264,Chhis
Baca,1264,Chhis
Baca,1307,Chhis
Baca,1307,Chhis
Baca,1307,Chhis
Baca,1307,Chhis
Baca,1307,Chhis
Baca,1316,Chhis
Adams,1318,Chhis
Cheyenne,1333,Chhis
Washington,1337,Chhis
Washington,1337,Chhis
Washington,1337,Chhis
Baca,1338,Chhis
Baca,1338,Chhis
Washington,1349,Chhis
Weld,1362,Chhis
Washington,1419,Chhis
Adams,1445,Chhis
Weld,1516,Chhis
Lincoln,1535,Chhis
Weld,1643,Chhis
Weld,1643,Chhis
Douglas,1794,Chhis
Douglas,1794,Chhis
Jefferson,1871,Chhis
Las Animas,1951,Chhis
Douglas,1977,Chhis
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1524,Diord
Larimer,1594,Diord
Larimer,1624,Diord
Larimer,1752,Diord
Larimer,1752,Diord
Larimer,1752,Diord
Larimer,1813,Diord
Larimer,1813,Diord
Larimer,1813,Diord
Larimer,1813,Diord
Larimer,1813,Diord
Larimer,1890,Diord
Larimer,1890,Diord
Larimer,1890,Diord
Larimer,1890,Diord
Larimer,1890,Diord
Montezuma,1460,Diord
Montezuma,1460,Diord
Montezuma,1460,Diord
Montezuma,1460,Diord
Montezuma,1640,Diord
Montezuma,1640,Diord
Yuma,1114,Diord
Yuma,1114,Diord
Yuma,1114,Diord
Yuma,1114,Diord
Yuma,1114,Diord
Yuma,1114,Diord
Yuma,1114,Diord
Yuma,1114,Diord
Prowers,1116,Diord
Prowers,1116,Diord
Baca,1117,Diord
Baca,1117,Diord
Baca,1117,Diord
Baca,1117,Diord
Baca,1117,Diord
Baca,1117,Diord
Baca,1117,Diord
Baca,1117,Diord
Prowers,1123,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1133,Diord
Yuma,1136,Diord
Yuma,1136,Diord
Yuma,1136,Diord
Yuma,1136,Diord
Yuma,1136,Diord
Yuma,1136,Diord
Yuma,1136,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Yuma,1138,Diord
Bent,1141,Diord
Bent,1141,Diord
Bent,1141,Diord
Bent,1141,Diord
Bent,1141,Diord
Bent,1141,Diord
Bent,1141,Diord
Bent,1141,Diord
Bent,1141,Diord
Bent,1173,Diord
Moffat,1176,Diord
Moffat,1176,Diord
Moffat,1176,Diord
Moffat,1176,Diord
Moffat,1176,Diord
Moffat,1176,Diord
Moffat,1176,Diord
Moffat,1176,Diord
Kiowa,1186,Diord
Kiowa,1186,Diord
Kiowa,1186,Diord
Kiowa,1186,Diord
Kiowa,1186,Diord
Kiowa,1186,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Logan,1199,Diord
Bent,1219,Diord
Bent,1219,Diord
Bent,1219,Diord
Bent,1219,Diord
Bent,1219,Diord
Cheyenne,1221,Diord
Cheyenne,1221,Diord
Cheyenne,1233,Diord
Cheyenne,1233,Diord
Cheyenne,1233,Diord
Cheyenne,1233,Diord
Cheyenne,1233,Diord
Cheyenne,1233,Diord
Cheyenne,1233,Diord
Cheyenne,1233,Diord
Cheyenne,1233,Diord
Kit Carson,1233,Diord
Kit Carson,1233,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1253,Diord
Baca,1264,Diord
Baca,1264,Diord
Baca,1264,Diord
Logan,1264,Diord
Logan,1264,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
Cheyenne,1285,Diord
